队伍,第一局排名,第一局击杀,第一局排名分,第一局击杀分,第一局总分,第一局总分排名,第二局排名,第二局击杀,第二局排名分,第二局击杀分,第二局总分,第二局总分排名,第三局排名,第三局击杀,第三局排名分,第三局击杀分,第三局总分,第三局总分排名,第四局排名,第四局击杀,第四局排名分,第四局击杀分,第四局总分,第四局总分排名,第五局排名,第五局击杀,第五局排名分,第五局击杀分,第五局总分,第五局总分排名,总总分,总总排名
队伍 1,10,0,2,0,2,14,17,1,0,1,1,16,19,0,0,0,0,17,4,2,5,2,7,5,8,9,2,9,11,2,21,10
队伍 2,9,3,2,3,5,6,4,4,5,4,9,5,16,1,0,1,1,14,18,0,0,0,0,16,6,1,3,1,4,11,19,11
队伍 3,6,1,3,1,4,8,11,0,1,0,1,16,4,4,5,4,9,5,5,0,4,0,4,9,2,0,9,0,9,4,27,5
队伍 4,15,0,1,0,1,15,20,0,0,0,0,18,2,11,9,11,20,1,12,0,1,0,1,13,15,0,1,0,1,14,23,9
队伍 5,16,3,0,3,3,12,14,1,1,1,2,13,15,2,1,2,3,10,8,3,2,3,5,6,10,3,2,3,5,8,18,14
队伍 6,20,0,0,0,0,17,18,2,0,2,2,13,11,8,1,8,9,5,7,9,3,9,12,2,12,1,1,1,2,12,25,6
队伍 7,4,4,5,4,9,3,13,3,1,3,4,8,12,0,1,0,1,14,14,3,1,3,4,9,14,0,1,0,1,14,19,11
队伍 8,7,4,3,4,7,5,19,0,0,0,0,18,10,0,2,0,2,12,19,0,0,0,0,16,9,7,2,7,9,4,18,14
队伍 9,5,1,4,1,5,6,15,2,1,2,3,9,14,1,1,1,2,12,15,3,1,3,4,9,19,0,0,0,0,19,14,18
队伍 10,18,0,0,0,0,17,16,0,0,0,0,18,8,3,2,3,5,7,13,0,1,0,1,13,11,0,1,0,1,14,7,19
队伍 11,1,13,12,13,25,2,6,10,3,10,13,3,7,13,3,13,16,3,1,27,12,27,39,1,20,1,0,1,1,14,94,2
队伍 12,3,1,7,1,8,4,8,1,2,1,3,9,5,1,4,1,5,7,2,0,9,0,9,4,5,1,4,1,5,8,30,4
队伍 13,2,21,9,21,30,1,1,14,12,14,26,1,3,4,7,4,11,4,10,3,2,3,5,6,1,24,12,24,36,1,108,1
队伍 14,14,0,1,0,1,15,3,0,7,0,7,7,9,2,2,2,4,9,3,4,7,4,11,3,17,1,0,1,1,14,24,7
队伍 15,13,3,1,3,4,8,5,4,4,4,8,6,18,0,0,0,0,17,20,0,0,0,0,16,7,3,3,3,6,7,18,14
队伍 16,17,0,0,0,0,17,12,1,1,1,2,13,6,0,3,0,3,10,6,2,3,2,5,6,4,3,5,3,8,6,18,14
队伍 17,12,2,1,2,3,12,10,1,2,1,3,9,17,0,0,0,0,17,17,0,0,0,0,16,16,0,0,0,0,19,6,20
队伍 18,11,3,1,3,4,8,9,10,2,10,12,4,20,0,0,0,0,17,9,1,2,1,3,12,13,4,1,4,5,8,24,7
队伍 19,8,2,2,2,4,8,7,0,3,0,3,9,13,0,1,0,1,14,11,0,1,0,1,13,3,3,7,3,10,3,19,11
队伍 20,19,0,0,0,0,17,2,7,9,7,16,2,1,8,12,8,20,1,16,0,0,0,0,16,18,2,0,2,2,12,38,3
