队伍,第一局排名,第一局击杀,第一局排名分,第一局击杀分,第一局总分,第一局总分排名,第二局排名,第二局击杀,第二局排名分,第二局击杀分,第二局总分,第二局总分排名,第三局排名,第三局击杀,第三局排名分,第三局击杀分,第三局总分,第三局总分排名,第四局排名,第四局击杀,第四局排名分,第四局击杀分,第四局总分,第四局总分排名,总总分,总总排名
队伍 1,6,0,3,0,3,9,14,1,1,1,2,12,4,1,5,1,6,8,7,1,3,1,4,7,15,12
队伍 2,3,1,7,1,8,7,3,4,7,4,11,4,17,0,0,0,0,17,12,0,1,0,1,11,20,9
队伍 3,10,0,2,0,2,10,12,2,1,2,3,10,20,0,0,0,0,17,9,0,2,0,2,10,7,16
队伍 4,2,4,9,4,13,2,18,0,0,0,0,16,11,3,1,3,4,9,17,0,0,0,0,16,17,11
队伍 5,15,1,1,1,2,10,4,0,5,0,5,7,9,2,2,2,4,9,5,0,4,0,4,7,15,12
队伍 6,9,0,2,0,2,10,5,0,4,0,4,9,3,8,7,8,15,3,2,6,9,6,15,3,36,5
队伍 7,16,0,0,0,0,16,8,0,2,0,2,12,16,1,0,1,1,16,19,0,0,0,0,16,3,18
队伍 8,19,0,0,0,0,16,13,5,1,5,6,6,7,5,3,5,8,5,4,6,5,6,11,4,25,6
队伍 9,8,2,2,2,4,8,16,0,0,0,0,16,12,3,1,3,4,9,18,0,0,0,0,16,8,15
队伍 10,4,8,5,8,13,2,2,20,9,20,29,1,15,1,1,1,2,12,8,5,2,5,7,5,51,3
队伍 11,5,7,4,7,11,5,17,0,0,0,0,16,5,3,4,3,7,6,6,0,3,0,3,9,21,8
队伍 12,12,0,1,0,1,14,10,5,2,5,7,5,1,4,12,4,16,2,15,0,1,0,1,11,25,6
队伍 13,11,8,1,8,9,6,11,0,1,0,1,14,8,0,2,0,2,12,10,4,2,4,6,6,18,10
队伍 14,18,0,0,0,0,16,20,0,0,0,0,16,18,0,0,0,0,17,13,0,1,0,1,11,1,20
队伍 15,1,19,12,19,31,1,1,14,12,14,26,2,6,11,3,11,14,4,16,0,0,0,0,16,71,1
队伍 16,17,0,0,0,0,16,19,0,0,0,0,16,2,12,9,12,21,1,3,16,7,16,23,2,44,4
队伍 17,20,0,0,0,0,16,6,0,3,0,3,10,19,0,0,0,0,17,20,0,0,0,0,16,3,18
队伍 18,13,0,1,0,1,14,7,2,3,2,5,7,14,1,1,1,2,12,14,0,1,0,1,11,9,14
队伍 19,7,9,3,9,12,4,9,11,2,11,13,3,13,6,1,6,7,6,1,19,12,19,31,1,63,2
队伍 20,14,1,1,1,2,10,15,0,1,0,1,14,10,0,2,0,2,12,11,0,1,0,1,11,6,17
