队伍,第一局排名,第一局击杀,第一局排名分,第一局击杀分,第一局总分,第一局总分排名,第二局排名,第二局击杀,第二局排名分,第二局击杀分,第二局总分,第二局总分排名,第三局排名,第三局击杀,第三局排名分,第三局击杀分,第三局总分,第三局总分排名,总总分,总总排名
队伍 1,8,0,2,0,2,12,6,0,3,0,3,9,9,0,2,0,2,9,7,14
队伍 2,10,5,2,5,7,6,10,4,2,4,6,6,1,14,12,14,26,1,39,2
队伍 3,6,0,3,0,3,10,2,5,9,5,14,2,10,0,2,0,2,9,19,7
队伍 4,9,3,2,3,5,7,8,0,2,0,2,10,13,0,1,0,1,12,8,13
队伍 5,15,0,1,0,1,13,1,20,12,20,32,1,12,0,1,0,1,12,34,4
队伍 6,12,0,1,0,1,13,4,0,5,0,5,7,11,0,1,0,1,12,7,14
队伍 7,2,7,9,7,16,3,12,0,1,0,1,13,5,2,4,2,6,5,23,5
队伍 8,11,2,1,2,3,10,15,0,1,0,1,13,8,3,2,3,5,6,9,12
队伍 9,16,0,0,0,0,16,3,4,7,4,11,4,15,0,1,0,1,12,12,9
队伍 10,7,2,3,2,5,7,11,1,1,1,2,10,6,0,3,0,3,7,10,10
队伍 11,13,3,1,3,4,9,13,3,1,3,4,8,4,2,5,2,7,4,15,8
队伍 12,14,0,1,0,1,13,14,0,1,0,1,13,16,0,0,0,0,16,2,16
队伍 13,3,11,7,11,18,1,7,9,3,9,12,3,2,14,9,14,23,2,53,1
队伍 14,4,8,5,8,13,4,5,4,4,4,8,5,3,8,7,8,15,3,36,3
队伍 15,5,4,4,4,8,5,16,0,0,0,0,16,14,1,1,1,2,9,10,10
队伍 16,1,6,12,6,18,1,9,0,2,0,2,10,7,0,3,0,3,7,23,5
队伍 17,,,,,,,,,,,,,,,,,,,,
队伍 18,,,,,,,,,,,,,,,,,,,,
队伍 19,,,,,,,,,,,,,,,,,,,,
队伍 20,,,,,,,,,,,,,,,,,,,,
